date,tweeting_user,mentioned_user
2014-09-01 14:37:26,zebrerugby,cardiff_blues
2014-09-02 12:12:19,zebrerugby,cardiff_blues
2014-09-02 12:50:04,benettonrugby,ospreys
2014-09-02 14:15:32,zebrerugby,cardiff_blues
2014-09-04 09:41:30,benettonrugby,ospreys
2014-09-04 10:07:29,benettonrugby,ospreys
2014-09-04 10:48:37,benettonrugby,ospreys
2014-09-04 18:43:13,zebrerugby,cardiff_blues
2014-09-04 18:44:43,zebrerugby,benettonrugby
2014-09-04 18:45:18,zebrerugby,benettonrugby
2014-09-04 19:07:02,zebrerugby,cardiff_blues
2014-09-05 08:35:29,benettonrugby,ospreys
2014-09-05 12:20:27,zebrerugby,cardiff_blues
2014-09-05 12:55:51,benettonrugby,ospreys
2014-09-05 17:20:45,zebrerugby,cardiff_blues
2014-09-06 10:01:04,zebrerugby,cardiff_blues
2014-09-07 11:59:00,zebrerugby,cardiff_blues
2014-09-07 11:59:15,zebrerugby,cardiff_blues
2014-09-07 12:12:51,zebrerugby,cardiff_blues
2014-09-07 13:01:13,zebrerugby,cardiff_blues
2014-09-07 15:11:38,zebrerugby,cardiff_blues
2014-09-07 15:58:20,zebrerugby,cardiff_blues
2014-09-07 16:12:04,zebrerugby,cardiff_blues
2014-09-07 16:28:06,zebrerugby,cardiff_blues
2014-09-07 16:29:10,zebrerugby,cardiff_blues
2014-09-07 16:43:26,zebrerugby,cardiff_blues
2014-09-07 16:45:55,zebrerugby,cardiff_blues
2014-09-07 16:55:19,zebrerugby,cardiff_blues
2014-09-07 17:00:38,zebrerugby,cardiff_blues
2014-09-07 17:35:34,zebrerugby,cardiff_blues
2014-09-07 17:39:22,zebrerugby,cardiff_blues
2014-09-07 17:57:20,zebrerugby,cardiff_blues
2014-09-07 18:55:13,zebrerugby,cardiff_blues
2014-09-07 19:40:17,benettonrugby,ospreys
2014-09-07 20:04:02,zebrerugby,cardiff_blues
2014-09-07 20:11:31,zebrerugby,cardiff_blues
2014-09-07 20:19:13,zebrerugby,cardiff_blues
2014-09-08 12:56:37,zebrerugby,cardiff_blues
2014-09-09 16:23:53,zebrerugby,ulsterrugby
2014-09-09 16:30:01,zebrerugby,ulsterrugby
2014-09-09 16:31:24,zebrerugby,ulsterrugby
2014-09-09 18:44:39,benettonrugby,munsterrugby
2014-09-10 17:13:54,zebrerugby,ulsterrugby
2014-09-11 10:00:19,zebrerugby,ulsterrugby
2014-09-11 11:00:20,benettonrugby,munsterrugby
2014-09-11 12:15:33,zebrerugby,ulsterrugby
2014-09-11 12:39:46,zebrerugby,ulsterrugby
2014-09-12 10:52:18,zebrerugby,ulsterrugby
2014-09-12 12:52:09,zebrerugby,ulsterrugby
2014-09-12 16:06:24,zebrerugby,ulsterrugby
2014-09-12 19:00:55,zebrerugby,ulsterrugby
2014-09-12 19:54:20,zebrerugby,ulsterrugby
2014-09-12 20:00:09,zebrerugby,ulsterrugby
2014-09-12 20:08:40,zebrerugby,ulsterrugby
2014-09-12 20:24:55,zebrerugby,ulsterrugby
2014-09-12 21:07:12,zebrerugby,ulsterrugby
2014-09-12 21:11:33,zebrerugby,ulsterrugby
2014-09-12 21:26:43,zebrerugby,ulsterrugby
2014-09-12 21:34:37,zebrerugby,ulsterrugby
2014-09-12 21:35:52,zebrerugby,ulsterrugby
2014-09-12 21:54:33,zebrerugby,ulsterrugby
2014-09-13 07:07:34,zebrerugby,benettonrugby
2014-09-15 10:29:24,zebrerugby,ulsterrugby
2014-09-15 10:33:47,zebrerugby,ulsterrugby
2014-09-15 13:04:07,benettonrugby,glasgowwarriors
2014-09-16 13:35:24,benettonrugby,scarlets_rugby
2014-09-16 14:08:57,zebrerugby,munsterrugby
2014-09-17 15:07:59,zebrerugby,munsterrugby
2014-09-18 09:33:21,zebrerugby,munsterrugby
2014-09-18 11:13:15,zebrerugby,munsterrugby
2014-09-18 12:21:34,zebrerugby,munsterrugby
2014-09-18 16:14:50,zebrerugby,ulsterrugby
2014-09-18 16:28:26,zebrerugby,munsterrugby
2014-09-19 18:08:33,zebrerugby,munsterrugby
2014-09-19 19:07:50,zebrerugby,munsterrugby
2014-09-19 19:10:31,zebrerugby,munsterrugby
2014-09-19 19:23:47,zebrerugby,munsterrugby
2014-09-19 19:33:51,zebrerugby,munsterrugby
2014-09-19 19:44:12,zebrerugby,munsterrugby
2014-09-19 19:48:25,zebrerugby,munsterrugby
2014-09-19 19:51:30,zebrerugby,munsterrugby
2014-09-19 20:10:10,zebrerugby,munsterrugby
2014-09-19 20:10:17,zebrerugby,munsterrugby
2014-09-19 20:15:14,zebrerugby,munsterrugby
2014-09-19 21:02:13,zebrerugby,munsterrugby
2014-09-19 21:17:04,zebrerugby,munsterrugby
2014-09-19 21:23:21,zebrerugby,munsterrugby
2014-09-19 21:26:24,zebrerugby,ulsterrugby
2014-09-19 22:14:59,zebrerugby,ulsterrugby
2014-09-20 10:30:03,zebrerugby,ulsterrugby
2014-09-20 17:30:48,benettonrugby,scarlets_rugby
2014-09-20 17:37:01,benettonrugby,scarlets_rugby
2014-09-20 18:16:01,benettonrugby,scarlets_rugby
2014-09-20 19:06:38,benettonrugby,scarlets_rugby
2014-09-20 19:21:08,benettonrugby,scarlets_rugby
2014-09-20 19:42:36,benettonrugby,scarlets_rugby
2014-09-22 08:28:26,zebrerugby,munsterrugby
2014-09-22 14:41:40,zebrerugby,munsterrugby
2014-09-22 15:58:49,benettonrugby,glasgowwarriors
2014-09-23 11:27:08,benettonrugby,glasgowwarriors
2014-09-23 13:57:04,zebrerugby,ulsterrugby
2014-09-23 14:04:13,benettonrugby,dragonsrugby
2014-09-24 08:47:30,zebrerugby,ulsterrugby
2014-09-24 17:11:03,zebrerugby,ulsterrugby
2014-09-25 17:21:24,zebrerugby,ulsterrugby
2014-09-25 17:57:38,zebrerugby,ulsterrugby
2014-09-26 12:05:01,zebrerugby,ulsterrugby
2014-09-26 12:25:31,zebrerugby,ulsterrugby
2014-09-26 13:57:51,benettonrugby,ulsterrugby
2014-09-26 13:57:51,benettonrugby,dragonsrugby
2014-09-26 13:57:51,benettonrugby,zebrerugby
2014-09-27 10:10:33,zebrerugby,ulsterrugby
2014-09-27 11:59:07,zebrerugby,ulsterrugby
2014-09-27 12:32:36,zebrerugby,ulsterrugby
2014-09-27 15:25:37,zebrerugby,ulsterrugby
2014-09-27 15:25:50,zebrerugby,ulsterrugby
2014-09-27 15:26:09,zebrerugby,ulsterrugby
2014-09-27 15:27:44,zebrerugby,ulsterrugby
2014-09-27 15:43:38,zebrerugby,ulsterrugby
2014-09-27 16:02:58,zebrerugby,ulsterrugby
2014-09-27 16:19:54,zebrerugby,ulsterrugby
2014-09-27 16:27:05,zebrerugby,ulsterrugby
2014-09-27 16:32:39,zebrerugby,ulsterrugby
2014-09-27 16:48:38,zebrerugby,ulsterrugby
2014-09-27 16:56:43,zebrerugby,ulsterrugby
2014-09-27 17:14:37,zebrerugby,ulsterrugby
2014-09-27 17:49:29,zebrerugby,ulsterrugby
2014-09-27 17:50:02,zebrerugby,ulsterrugby
2014-09-27 17:50:21,zebrerugby,ulsterrugby
2014-09-27 18:47:35,zebrerugby,ulsterrugby
2014-09-28 11:48:15,zebrerugby,ulsterrugby
2014-09-28 15:30:08,benettonrugby,dragonsrugby
2014-09-28 16:27:42,benettonrugby,dragonsrugby
2014-09-28 16:53:57,benettonrugby,dragonsrugby
2014-09-28 17:54:48,benettonrugby,glasgowwarriors
2014-09-29 09:08:25,zebrerugby,ulsterrugby
2014-09-29 09:12:00,zebrerugby,ulsterrugby
2014-09-29 09:16:38,zebrerugby,ulsterrugby
2014-09-30 09:02:44,benettonrugby,connachtrugby
2014-09-30 09:53:59,benettonrugby,connachtrugby
2014-09-30 13:04:38,zebrerugby,ospreys
2014-09-30 13:39:57,zebrerugby,ulsterrugby
2014-09-30 14:19:59,benettonrugby,ospreys
2014-09-30 14:19:59,benettonrugby,zebrerugby
2014-09-30 14:41:45,benettonrugby,glasgowwarriors
2014-09-30 16:32:05,zebrerugby,ospreys
2014-10-01 16:58:46,zebrerugby,ospreys
2014-10-02 10:31:42,zebrerugby,ospreys
2014-10-02 12:04:42,zebrerugby,ospreys
2014-10-02 12:15:54,zebrerugby,ospreys
2014-10-02 13:14:58,zebrerugby,ospreys
2014-10-03 06:57:40,benettonrugby,zebrerugby
2014-10-03 11:53:52,benettonrugby,glasgowwarriors
2014-10-03 12:16:59,zebrerugby,ospreys
2014-10-03 12:18:37,zebrerugby,ospreys
2014-10-03 12:24:23,zebrerugby,ospreys
2014-10-03 12:24:28,zebrerugby,ospreys
2014-10-03 14:16:30,zebrerugby,ospreys
2014-10-03 15:39:02,zebrerugby,ospreys
2014-10-03 19:34:54,zebrerugby,ospreys
2014-10-03 19:36:20,zebrerugby,ospreys
2014-10-03 19:48:58,zebrerugby,ospreys
2014-10-03 19:57:46,zebrerugby,ospreys
2014-10-03 20:02:51,zebrerugby,ospreys
2014-10-03 20:05:52,zebrerugby,ospreys
2014-10-03 20:11:32,zebrerugby,ospreys
2014-10-03 20:20:56,zebrerugby,ospreys
2014-10-03 20:28:45,zebrerugby,ospreys
2014-10-03 20:29:29,zebrerugby,ospreys
2014-10-03 20:30:19,zebrerugby,ospreys
2014-10-03 20:32:39,zebrerugby,ospreys
2014-10-03 20:36:52,zebrerugby,ospreys
2014-10-03 20:39:43,zebrerugby,ospreys
2014-10-03 20:55:38,zebrerugby,ospreys
2014-10-03 21:06:27,zebrerugby,ospreys
2014-10-03 21:11:26,zebrerugby,ospreys
2014-10-03 21:21:37,zebrerugby,ospreys
2014-10-03 22:20:48,zebrerugby,ospreys
2014-10-03 23:06:26,zebrerugby,ospreys
2014-10-04 08:52:05,zebrerugby,ospreys
2014-10-05 10:38:04,benettonrugby,glasgowwarriors
2014-10-05 12:09:14,benettonrugby,glasgowwarriors
2014-10-05 13:53:59,benettonrugby,glasgowwarriors
2014-10-06 09:32:45,zebrerugby,benettonrugby
2014-10-06 09:52:16,zebrerugby,ospreys
2014-10-06 10:04:06,zebrerugby,ospreys
2014-10-06 13:02:19,benettonrugby,zebrerugby
2014-10-06 14:56:50,zebrerugby,benettonrugby
2014-10-06 15:30:42,zebrerugby,ospreys
2014-10-06 17:09:16,zebrerugby,leinsterrugby
2014-10-07 10:03:17,benettonrugby,connachtrugby
2014-10-07 12:56:24,benettonrugby,connachtrugby
2014-10-07 14:07:25,zebrerugby,leinsterrugby
2014-10-09 09:14:09,zebrerugby,leinsterrugby
2014-10-09 11:34:41,benettonrugby,connachtrugby
2014-10-09 11:49:38,zebrerugby,leinsterrugby
2014-10-09 11:56:53,benettonrugby,connachtrugby
2014-10-09 12:30:36,zebrerugby,leinsterrugby
2014-10-09 17:32:52,benettonrugby,connachtrugby
2014-10-10 09:36:28,zebrerugby,leinsterrugby
2014-10-10 12:05:26,zebrerugby,leinsterrugby
2014-10-10 12:16:27,zebrerugby,leinsterrugby
2014-10-10 14:18:36,benettonrugby,connachtrugby
2014-10-10 14:19:26,benettonrugby,connachtrugby
2014-10-10 14:55:40,zebrerugby,leinsterrugby
2014-10-10 17:30:22,zebrerugby,leinsterrugby
2014-10-11 11:05:56,zebrerugby,leinsterrugby
2014-10-11 11:13:45,zebrerugby,leinsterrugby
2014-10-11 11:57:34,zebrerugby,leinsterrugby
2014-10-11 14:38:15,zebrerugby,leinsterrugby
2014-10-11 14:59:40,zebrerugby,leinsterrugby
2014-10-11 14:59:44,zebrerugby,leinsterrugby
2014-10-11 14:59:55,zebrerugby,leinsterrugby
2014-10-11 15:01:28,zebrerugby,leinsterrugby
2014-10-11 15:07:03,zebrerugby,leinsterrugby
2014-10-11 15:07:27,zebrerugby,leinsterrugby
2014-10-11 15:10:25,zebrerugby,leinsterrugby
2014-10-11 15:35:15,zebrerugby,leinsterrugby
2014-10-11 15:35:22,zebrerugby,leinsterrugby
2014-10-11 15:35:25,zebrerugby,leinsterrugby
2014-10-11 15:53:00,zebrerugby,leinsterrugby
2014-10-11 15:54:39,zebrerugby,leinsterrugby
2014-10-11 16:12:06,zebrerugby,leinsterrugby
2014-10-11 16:15:53,zebrerugby,leinsterrugby
2014-10-11 16:16:08,zebrerugby,leinsterrugby
2014-10-11 16:16:22,zebrerugby,leinsterrugby
2014-10-11 16:45:44,zebrerugby,leinsterrugby
2014-10-11 16:49:11,zebrerugby,leinsterrugby
2014-10-11 17:03:06,zebrerugby,leinsterrugby
2014-10-11 17:47:17,zebrerugby,leinsterrugby
2014-10-11 17:47:30,zebrerugby,leinsterrugby
2014-10-11 18:22:57,zebrerugby,leinsterrugby
2014-10-11 18:53:53,zebrerugby,leinsterrugby
2014-10-13 09:54:20,zebrerugby,leinsterrugby
2014-10-13 12:05:17,zebrerugby,leinsterrugby
2014-10-17 11:30:26,connachtrugby,leinsterrugby
2014-10-17 11:30:26,connachtrugby,munsterrugby
2014-10-17 11:30:26,connachtrugby,ulsterrugby
2014-10-18 17:01:21,benettonrugby,ospreys
2014-10-19 10:30:27,benettonrugby,ospreys
2014-10-19 12:41:53,benettonrugby,ospreys
2014-10-19 13:23:51,benettonrugby,ospreys
2014-10-19 13:52:59,benettonrugby,ospreys
2014-10-19 14:08:06,benettonrugby,ospreys
2014-10-24 17:44:44,zebrerugby,munsterrugby
2014-10-24 17:44:44,zebrerugby,dragonsrugby
2014-10-24 17:44:44,zebrerugby,edinburghrugby
2014-10-27 10:18:06,zebrerugby,scarlets_rugby
2014-10-28 13:29:23,benettonrugby,glasgowwarriors
2014-10-28 15:10:46,zebrerugby,scarlets_rugby
2014-10-28 16:15:06,zebrerugby,scarlets_rugby
2014-10-29 16:46:12,zebrerugby,munsterrugby
2014-10-29 16:46:12,zebrerugby,glasgowwarriors
2014-10-29 16:46:12,zebrerugby,dragonsrugby
2014-10-30 12:03:19,connachtrugby,ospreys
2014-10-30 16:12:24,zebrerugby,scarlets_rugby
2014-10-31 12:13:42,zebrerugby,scarlets_rugby
2014-10-31 12:55:56,zebrerugby,scarlets_rugby
2014-10-31 20:20:44,benettonrugby,glasgowwarriors
2014-10-31 20:52:58,benettonrugby,glasgowwarriors
2014-10-31 21:18:37,benettonrugby,glasgowwarriors
2014-11-01 10:53:19,zebrerugby,scarlets_rugby
2014-11-01 10:54:29,zebrerugby,ospreys
2014-11-01 17:48:29,zebrerugby,scarlets_rugby
2014-11-01 17:51:30,zebrerugby,scarlets_rugby
2014-11-01 17:57:24,zebrerugby,scarlets_rugby
2014-11-01 18:02:06,zebrerugby,scarlets_rugby
2014-11-01 18:02:45,zebrerugby,scarlets_rugby
2014-11-01 18:12:18,zebrerugby,scarlets_rugby
2014-11-01 18:20:32,zebrerugby,scarlets_rugby
2014-11-01 18:22:30,zebrerugby,scarlets_rugby
2014-11-01 18:35:22,zebrerugby,scarlets_rugby
2014-11-01 18:46:02,zebrerugby,scarlets_rugby
2014-11-01 18:50:25,zebrerugby,scarlets_rugby
2014-11-01 18:55:17,zebrerugby,scarlets_rugby
2014-11-01 19:04:08,zebrerugby,scarlets_rugby
2014-11-01 19:07:52,zebrerugby,scarlets_rugby
2014-11-01 19:12:16,zebrerugby,scarlets_rugby
2014-11-01 19:23:08,zebrerugby,scarlets_rugby
2014-11-01 19:27:55,zebrerugby,scarlets_rugby
2014-11-01 19:45:04,zebrerugby,scarlets_rugby
2014-11-01 19:45:50,zebrerugby,scarlets_rugby
2014-11-01 20:09:17,zebrerugby,scarlets_rugby
2014-11-01 20:20:54,zebrerugby,scarlets_rugby
2014-11-03 09:45:40,zebrerugby,scarlets_rugby
2014-11-10 11:43:55,zebrerugby,connachtrugby
2014-11-12 10:00:11,zebrerugby,edinburghrugby
2014-11-16 16:24:52,connachtrugby,zebrerugby
2014-11-17 08:25:10,benettonrugby,leinsterrugby
2014-11-17 09:04:24,zebrerugby,connachtrugby
2014-11-17 12:55:59,zebrerugby,connachtrugby
2014-11-18 13:14:45,zebrerugby,connachtrugby
2014-11-18 13:33:35,benettonrugby,leinsterrugby
2014-11-19 15:43:56,ulsterrugby,ospreys
2014-11-20 08:55:29,connachtrugby,zebrerugby
2014-11-20 12:01:02,zebrerugby,connachtrugby
2014-11-20 12:05:22,ulsterrugby,ospreys
2014-11-20 12:14:40,zebrerugby,connachtrugby
2014-11-20 14:25:16,benettonrugby,leinsterrugby
2014-11-21 08:50:56,zebrerugby,connachtrugby
2014-11-21 10:25:10,benettonrugby,leinsterrugby
2014-11-21 10:58:00,zebrerugby,connachtrugby
2014-11-21 11:29:52,zebrerugby,edinburghrugby
2014-11-21 14:26:34,zebrerugby,connachtrugby
2014-11-21 15:03:23,ulsterrugby,ospreys
2014-11-21 17:06:11,connachtrugby,zebrerugby
2014-11-21 18:46:36,zebrerugby,connachtrugby
2014-11-21 19:04:29,ulsterrugby,ospreys
2014-11-21 19:36:26,ulsterrugby,ospreys
2014-11-21 19:36:50,zebrerugby,connachtrugby
2014-11-21 19:52:07,zebrerugby,connachtrugby
2014-11-21 19:52:28,ulsterrugby,ospreys
2014-11-21 19:55:50,zebrerugby,connachtrugby
2014-11-21 20:00:51,zebrerugby,connachtrugby
2014-11-21 20:17:17,zebrerugby,connachtrugby
2014-11-21 20:22:46,zebrerugby,connachtrugby
2014-11-21 20:25:55,zebrerugby,connachtrugby
2014-11-21 20:36:05,zebrerugby,connachtrugby
2014-11-21 20:36:58,zebrerugby,connachtrugby
2014-11-21 20:47:08,zebrerugby,connachtrugby
2014-11-21 20:58:05,ulsterrugby,ospreys
2014-11-21 21:08:44,zebrerugby,connachtrugby
2014-11-21 21:12:24,zebrerugby,connachtrugby
2014-11-21 21:16:33,zebrerugby,connachtrugby
2014-11-21 21:19:14,ulsterrugby,ospreys
2014-11-21 21:24:35,ulsterrugby,ospreys
2014-11-21 21:28:07,zebrerugby,connachtrugby
2014-11-21 21:28:54,zebrerugby,connachtrugby
2014-11-21 21:31:24,ulsterrugby,scarlets_rugby
2014-11-21 21:37:24,ulsterrugby,leinsterrugby
2014-11-21 21:37:24,ulsterrugby,munsterrugby
2014-11-21 21:37:24,ulsterrugby,connachtrugby
2014-11-21 21:45:24,zebrerugby,connachtrugby
2014-11-21 21:45:28,zebrerugby,connachtrugby
2014-11-21 21:59:11,zebrerugby,connachtrugby
2014-11-21 22:05:33,ulsterrugby,ospreys
2014-11-21 22:50:41,ulsterrugby,ospreys
2014-11-22 18:20:39,ulsterrugby,connachtrugby
2014-11-22 18:20:54,ulsterrugby,leinsterrugby
2014-11-22 18:20:59,ulsterrugby,munsterrugby
2014-11-23 11:44:49,benettonrugby,leinsterrugby
